ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],Ra[deg],Dec[deg],X,Y,x[west],x[east],azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,az_telescope,alt_telescope,exposure_starting_time_tomoe,az_meteor,el_meteor
579513_060,88.5,10,39,23.0086,-7,47,32.971,159.84586919999998,-7.792491944,315,19,140.0,479.0,230.406943,31.236496999999996,206568.9127,232.893994,29.480812,212360.3159,231.9,27.43,2018-04-18T14:46:54.563415,235.03363764869934,29.08613227757737
580511_058,85.0,11,17,13.0947,-9,34,8.982999999999999,169.30456130000002,-9.569161944,253,180,66.0,426.0,232.516817,27.429261,202934.6968,234.259779,26.230351000000002,198483.4079,231.5,27.73,2018-04-18T15:21:57.321073,232.95724640801956,28.02916601837322
580521_059,84.5,11,11,43.8732,-9,30,13.187000000000001,167.932805,-9.503663056,256,105,80.0,440.0,232.516817,27.429261,202934.6968,234.259779,26.230351000000002,198483.4079,231.5,27.73,2018-04-18T15:21:57.321073,234.10511175463793,27.134412328460034
581212_028,155.5,11,22,31.0563,-8,45,11.154000000000002,170.6294013,-8.753098332999999,198,143,151.0,222.0,234.42737799999998,30.708394000000002,201128.9454,233.445639,27.878744,205809.8678,231.7,27.59,2018-04-18T15:29:30.734101,234.18500034541782,28.410017050156302
581213_028,155.5,11,23,53.9769,-8,1,6.766,170.97490380000002,-8.018546111000001,457,194,424.0,474.0,234.42737799999998,30.708394000000002,201128.9454,233.445639,27.878744,205809.8678,231.7,27.59,2018-04-18T15:29:30.734101,233.89347153996312,28.636844052265836
581312_047,84.0,11,22,29.9886,-8,54,33.208,170.62495249999998,-8.909224444,195,261,56.0,305.0,231.82166899999999,28.637386,195297.831,233.74922400000003,27.487392,192131.4374,231.9,27.43,2018-04-18T15:30:33.622397,234.40984587384312,28.233717089365516
581511_005,111.5,11,22,36.8552,-9,29,55.732,170.6535633,-9.498814444,217,100,50.0,400.0,232.427049,28.572075,200781.9776,233.349312,27.090723999999998,191910.7374,232.4,27.09,2018-04-18T15:32:39.378288,234.07325527060567,27.159660957326956
581814_046,135.0,11,29,19.0444,-7,11,58.611000000000004,172.3293517,-7.199614167000001,251,181,177.0,286.0,234.43476600000002,31.884953000000003,204342.2276,234.49887599999997,29.252553999999996,207266.6163,231.7,27.59,2018-04-18T15:36:00.632719,234.88594029252968,29.202263144830184
582111_084,139.0,11,28,36.0929,-9,33,57.01,172.15038710000002,-9.565836111,121,151,38.0,212.0,234.025367,29.821156,203144.1941,235.24793799999998,27.82658,201672.8635,232.4,27.09,2018-04-18T15:39:09.700809,234.18310883590564,27.07249275270522
582212_049,123.0,11,34,56.0921,-8,38,28.124000000000002,173.73371709999998,-8.641145556,81,59,26.0,140.0,231.955558,27.882518,201407.4619,233.99060699999998,27.024865999999996,196580.47,231.3,27.93,2018-04-18T15:40:25.406151,233.8747108356962,28.651373197800652
582232_050,73.5,11,26,43.2786,-8,44,13.637,171.6803275,-8.737121389,181,140,60.0,340.0,231.955558,27.882518,201407.4619,233.99060699999998,27.024865999999996,196580.47,231.3,27.93,2018-04-18T15:40:25.406151,235.5866150203306,27.29157158019792
582313_095,44.5,11,36,45.1906,-7,54,0.915,174.18829419999997,-7.900254167000001,421,105,350.0,470.0,232.546023,28.713125,204238.421,235.05665299999998,28.866878000000003,200010.0685,231.5,27.76,2018-04-18T15:41:28.281647,234.47128770212123,29.525568997960068
582321_030,59.0,11,32,30.2422,-9,24,54.497,173.1260092,-9.415138056,446,39,408.0,478.0,231.37097999999997,27.311044,196487.9279,233.78564500000002,26.965815000000003,191055.7178,231.5,27.76,2018-04-18T15:41:28.281647,233.85542821863922,27.3316644661217
582325_095,45.0,11,31,11.4343,-6,29,2.865,172.7976429,-6.484129167000001,192,247,164.0,215.0,232.546023,28.713125,204238.421,235.05665299999998,28.866878000000003,200010.0685,231.5,27.76,2018-04-18T15:41:28.281647,236.41762869462133,29.336920887489033
582325_096,45.0,11,30,34.542,-6,19,39.571999999999996,172.643925,-6.327658888999999,76,129,16.0,120.0,232.546023,28.713125,204238.421,235.05665299999998,28.866878000000003,200010.0685,231.5,27.76,2018-04-18T15:41:28.281647,236.54615322247886,29.23297436408967
582332_030,59.5,11,27,53.6576,-8,43,36.372,171.9735733,-8.72677,400,130,311.0,460.0,231.37097999999997,27.311044,196487.9279,233.78564500000002,26.965815000000003,191055.7178,231.5,27.76,2018-04-18T15:41:28.281647,235.5619445721394,27.311660810799484
582412_092,98.0,11,35,49.7064,-8,43,36.342,173.95711,-8.726761667,248,123,90.0,430.0,232.394996,28.975602000000002,194565.9968,235.042233,26.202077,199503.3699,231.7,27.6,2018-04-18T15:42:31.376341,234.13057642778682,28.452512683040805
582422_091,98.0,11,31,33.3806,-8,52,28.59,172.8890858,-8.874608333,268,237,113.0,423.0,232.394996,28.975602000000002,194565.9968,235.042233,26.202077,199503.3699,231.7,27.6,2018-04-18T15:42:31.376341,235.02338909118467,27.746594514088578
582521_118,64.0,11,30,28.0997,-9,41,17.907,172.6170821,-9.6883075,67,246,20.0,120.0,232.966969,26.327601,200836.6612,234.754331,25.867298,194032.65300000002,231.9,27.43,2018-04-18T15:43:34.269236,234.7107399264121,26.64983894326344
582542_119,64.5,11,23,27.8084,-8,50,27.680999999999997,170.86586830000002,-8.841022500000001,394,222,252.0,478.0,232.966969,26.327601,200836.6612,234.754331,25.867298,194032.65300000002,231.9,27.43,2018-04-18T15:43:34.269236,236.88941468282525,26.20990317622446
582612_108,107.0,11,35,52.8722,-8,46,27.683000000000003,173.97030080000002,-8.774356389,258,159,80.0,450.0,231.70426,30.542348999999998,200976.9927,233.057735,28.630490999999996,208044.129,232.2,27.26,2018-04-18T15:44:37.144233,234.5613494891803,28.114255412515227
582715_090,72.5,11,36,14.1687,-6,16,47.17,174.0590363,-6.279769443999999,323,90,135.0,500.0,231.51335699999998,30.954108,206408.3601,234.450116,29.838694,211301.72600000002,232.4,27.09,2018-04-18T15:45:40.030932,236.2428122245303,29.47767681689872
